bot,method,coin,avg_cost,exit_price,pnl_pct,pnl_usdt,dca_count,invested,hold_hrs,exit_reason,btc_regime,btc_24h_change,btc_dominance,market_age_days,opened_at,exit_time,category
E39-3,E39,KULA,0.065580000000000000,0.067040000000000000,2.22628850000000000000,2.22628850,0.0,100.00000000,71.9692541097222222,tp,,0.1405,56.68,,2026-06-15 06:45:35.278999,2026-06-18 06:43:44.593794,micro
E39-4,E39,KULA,0.065580000000000000,0.067040000000000000,2.22628850000000000000,2.22628850,0.0,100.00000000,71.9691950436111111,tp,,0.1405,56.68,,2026-06-15 06:45:35.494040,2026-06-18 06:43:44.596197,micro
E39-1,E39,KULA,0.065580000000000000,0.067040000000000000,2.22628850000000000000,2.22628850,0.0,100.00000000,71.9693973250000000,tp,,0.1405,56.68,,2026-06-15 06:45:34.787884,2026-06-18 06:43:44.618254,micro
E39-2,E39,KULA,0.065580000000000000,0.067040000000000000,2.22628850000000000000,2.22628850,0.0,100.00000000,71.9693489675000000,tp,,0.1405,56.68,,2026-06-15 06:45:34.964212,2026-06-18 06:43:44.620495,micro
E39-5,E39,KULA,0.065580000000000000,0.067040000000000000,2.22628850000000000000,2.22628850,0.0,100.00000000,71.9691007230555556,tp,,0.1405,56.68,,2026-06-15 06:45:35.836012,2026-06-18 06:43:44.598615,micro
E39-2,E39,VELVET,0.514780000000000000,0.526240000000000000,2.22619371000000000000,2.22619371,0.0,100.00000000,24.2210759911111111,tp,,,,,2026-06-12 18:13:47.931453,2026-06-13 18:27:03.805021,small
E39-3,E39,VELVET,0.514780000000000000,0.526240000000000000,2.22619371000000000000,2.22619371,0.0,100.00000000,24.2210135050000000,tp,,,,,2026-06-12 18:13:48.159493,2026-06-13 18:27:03.808111,small
E39-1,E39,VELVET,0.514780000000000000,0.526240000000000000,2.22619371000000000000,2.22619371,0.0,100.00000000,24.2211103891666667,tp,,,,,2026-06-12 18:13:47.804451,2026-06-13 18:27:03.801852,small
E39-5,E39,DIN,0.004005000000000000,0.004094000000000000,2.22222222000000000000,2.22222222,0.0,100.00000000,30.6199877652777778,tp,,0.1405,56.26,,2026-06-16 19:33:37.384603,2026-06-18 02:10:49.340558,micro
E39-1,E39,DIN,0.004005000000000000,0.004094000000000000,2.22222222000000000000,2.22222222,0.0,100.00000000,30.6204011611111111,tp,,0.1405,56.26,,2026-06-16 19:33:35.893886,2026-06-18 02:10:49.338066,micro
E39-5,E39,MLC,0.014410000000000000,0.014730000000000000,2.22068008000000000000,2.22068008,0.0,100.00000000,3.4303786222222222,tp,,,,,2026-06-10 16:31:11.715143,2026-06-10 19:57:01.078183,micro
E39-1,E39,MLC,0.014410000000000000,0.014730000000000000,2.22068008000000000000,2.22068008,0.0,100.00000000,3.4306445569444444,tp,,,,,2026-06-10 16:31:10.751356,2026-06-10 19:57:01.071761,micro
E39-2,E39,LINGO,0.007151000000000000,0.007309000000000000,2.20948119000000000000,2.20948119,0.0,100.00000000,50.0952165997222222,tp,,,,,2026-06-10 08:22:35.393234,2026-06-12 10:28:18.172993,micro
E39-3,E39,HYPE,60.660000000000000000,,2.20391725000000000000,2.20391725,0.0,100.00000000,1.8950482177777778,tp,,0.9416,55.79,,2026-06-25 14:38:08.241961,2026-06-25 16:31:50.415545,large
E39-2,E39,VELODROME,0.013180000000000000,0.013470000000000000,2.20030349000000000000,2.20030349,0.0,100.00000000,7.7075293886111111,tp,,,,,2026-06-10 12:04:45.917538,2026-06-10 19:47:13.023337,micro
E39-1,E39,QNT,68.360000000000000000,69.860000000000000000,2.19426577000000000000,2.19426577,0.0,100.00000000,3.7876585963888889,tp,,-0.9431,55.98,,2026-06-18 16:15:43.032905,2026-06-18 20:02:58.603852,mid
E39-1,E39,BABAON,110.090000000000000000,112.500000000000000000,2.18911850000000000000,2.18911850,0.0,100.00000000,92.0525877005555556,tp,,,,,2026-06-11 06:21:27.503834,2026-06-15 02:24:36.819556,micro
E39-4,E39,BABAON,110.090000000000000000,112.500000000000000000,2.18911850000000000000,2.18911850,0.0,100.00000000,92.0524660761111111,tp,,,,,2026-06-11 06:21:27.998033,2026-06-15 02:24:36.875907,micro
E39-4,E39,ASTEROID,0.000053360000000000,0.000054520000000000,2.17391304000000000000,2.17391304,0.0,100.00000000,4.0012441777777778,tp,,0.1405,56.62,,2026-06-14 10:22:02.404205,2026-06-14 14:22:06.883245,micro
E39-1,E39,ASTEROID,0.000053360000000000,0.000054520000000000,2.17391304000000000000,2.17391304,0.0,100.00000000,4.0014245666666667,tp,,0.1405,56.62,,2026-06-14 10:22:01.752788,2026-06-14 14:22:06.881228,micro
E39-3,E39,DIN,0.004007000000000000,0.004094000000000000,2.17120040000000000000,2.17120040,0.0,100.00000000,30.8729088441666667,tp,,0.1405,56.32,,2026-06-16 19:18:26.863645,2026-06-18 02:10:49.335484,micro
E39-4,E39,DIN,0.004007000000000000,0.004094000000000000,2.17120040000000000000,2.17120040,0.0,100.00000000,30.8728853291666667,tp,,0.1405,56.32,,2026-06-16 19:18:27.016672,2026-06-18 02:10:49.403857,micro
E39-2,E39,DIN,0.004007000000000000,0.004094000000000000,2.17120040000000000000,2.17120040,0.0,100.00000000,30.8730035655555556,tp,,0.1405,56.32,,2026-06-16 19:18:26.519305,2026-06-18 02:10:49.332141,micro
E39-1,E39,COLLECT,0.050810000000000000,0.051910000000000000,2.16492816000000000000,2.16492816,0.0,100.00000000,1.5847003391666667,tp,,,,,2026-06-12 11:12:56.200346,2026-06-12 12:48:01.121567,micro
E39-2,E39,COLLECT,0.050810000000000000,0.051910000000000000,2.16492816000000000000,2.16492816,0.0,100.00000000,1.5846245636111111,tp,,,,,2026-06-12 11:12:56.475276,2026-06-12 12:48:01.123705,micro
E39-3,E39,BABAON,110.120000000000000000,112.500000000000000000,2.16127813000000000000,2.16127813,0.0,100.00000000,91.9990754205555556,tp,,,,,2026-06-11 06:24:40.151893,2026-06-15 02:24:36.823407,micro
E39-2,E39,ASTEROID,0.000053370000000000,0.000054520000000000,2.15476860000000000000,2.15476860,0.0,100.00000000,4.0550100983333333,tp,,0.1405,56.62,,2026-06-14 10:18:48.863665,2026-06-14 14:22:06.900019,micro
E39-3,E39,ASTEROID,0.000053370000000000,0.000054520000000000,2.15476860000000000000,2.15476860,0.0,100.00000000,4.0549920775000000,tp,,0.1405,56.62,,2026-06-14 10:18:48.925029,2026-06-14 14:22:06.896508,micro
E39-5,E39,VRA,0.000006510000000000,0.000006650000000000,2.15053763000000000000,2.15053763,0.0,100.00000000,1.2827071705555556,tp,,,,,2026-06-10 11:34:01.039125,2026-06-10 12:50:58.784939,micro
E39-5,E39,C,0.092030000000000000,0.094000000000000000,2.14060632000000000000,2.14060632,0.0,100.00000000,17.7232490083333333,tp,,0.1405,56.58,,2026-06-14 16:59:18.060604,2026-06-15 10:42:41.757034,micro
E39-2,E39,C,0.092030000000000000,0.094000000000000000,2.14060632000000000000,2.14060632,0.0,100.00000000,17.7233357438888889,tp,,0.1405,56.58,,2026-06-14 16:59:17.794876,2026-06-15 10:42:41.803554,micro
