bot_name,method,params,position_id,coin,category,status,direction,entry_price,exit_price,quantity,total_invested_usd,total_sold_usd,pnl_usd,pnl_pct,is_clean_win,dca_count,entry_time,exit_time,hold_hours,tp_armed,peak_price,last_buy_price,pos_tp_pct,pos_dca_pct,pos_trail_pct,is_paper,sequence_number,coin_trade_number,btc_price_at_entry,btc_sma50_at_entry,btc_24h_change_pct,btc_regime,btc_dominance
E31-1,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 3.0}",5592,CTR,micro,open,long,0.013370000000000000,,7479.43156320,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-10 09:15:57.855414,,126.67,False,,0.013370000000000000,8.00,15.00,4.30,True,1,1,,,,,
E31-1,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 3.0}",5843,XNT,micro,closed,long,0.326000000000000000,0.347000000000000000,306.74846626,100.00000000,106.44171779,6.4417,6.44,1,0,2026-06-10 09:18:26.236954,2026-06-11 07:56:13.714798,22.63,True,0.368000000000000000,0.326000000000000000,8.00,15.00,5.00,True,1,1,,,,,
E31-1,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 3.0}",6081,PVT,micro,closed,long,0.000180000000000000,0.000209400000000000,555555.55555556,100.00000000,116.33333333,16.3333,16.33,1,0,2026-06-10 09:21:03.096598,2026-06-10 11:43:45.616530,2.38,True,0.000222500000000000,0.000180000000000000,8.00,15.00,3.00,True,1,1,,,,,
E31-1,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 3.0}",6324,COQ,micro,closed,long,8.1870000000E-8,9.0110000000E-8,1221448638.08476850,100.00000000,110.06473678,10.0647,10.06,1,0,2026-06-10 09:23:39.566317,2026-06-10 10:25:32.994668,1.03,True,9.4010000000E-8,8.1870000000E-8,9.40,15.00,3.80,True,1,1,,,,,
E31-1,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 3.0}",6563,XRPHAI,micro,closed,long,0.014720000000000000,0.016640000000000000,6793.47826087,100.00000000,113.04347826,13.0435,13.04,1,0,2026-06-10 09:26:35.392958,2026-06-10 22:05:42.847330,12.65,True,0.018340000000000000,0.014720000000000000,8.00,15.00,4.10,True,1,1,,,,,
E31-1,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 3.0}",6764,RICH,micro,closed,long,0.000234700000000000,0.000232100000000000,426075.84149979,100.00000000,98.89220281,-1.1078,-1.11,0,0,2026-06-10 09:30:01.873983,2026-06-10 11:17:13.141409,1.79,True,0.000255700000000000,0.000234700000000000,8.00,15.00,8.00,True,1,1,,,,,
E31-1,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 3.0}",6955,DROPEE,micro,open,long,0.002766000000000000,,36153.28994939,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-10 09:33:34.843339,,126.38,False,,0.002766000000000000,8.00,15.00,8.00,True,1,1,,,,,
E31-1,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 3.0}",7158,XYZ,micro,closed,long,0.000030118451807664,0.000032540000000000,9960671.34910501,300.00000000,324.12024570,24.1202,8.04,0,2,2026-06-10 09:37:08.710185,2026-06-10 16:09:06.325839,6.53,True,0.000034260000000000,0.000023810000000000,5.00,1.00,2.00,True,1,1,,,,,
E31-1,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 3.0}",7343,BTW,small,closed,long,0.082860000000000000,0.086882000000000000,1206.85493604,100.00000000,104.85397055,4.8540,4.85,1,0,2026-06-10 09:40:46.195090,2026-06-10 11:59:19.022717,2.31,True,0.089317000000000000,0.082860000000000000,5.00,10.00,2.00,True,1,1,,,,,
E31-1,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 3.0}",7538,MLT,micro,closed,long,0.001309000000000000,0.001380000000000000,76394.19404125,100.00000000,105.42398778,5.4240,5.42,1,0,2026-06-10 09:44:21.626275,2026-06-10 11:55:49.411862,2.19,True,0.001459000000000000,0.001309000000000000,8.00,15.00,3.00,True,1,1,,,,,
