bot_name,method,params,position_id,coin,category,status,direction,entry_price,exit_price,quantity,total_invested_usd,total_sold_usd,pnl_usd,pnl_pct,is_clean_win,dca_count,entry_time,exit_time,hold_hours,tp_armed,peak_price,last_buy_price,pos_tp_pct,pos_dca_pct,pos_trail_pct,is_paper,sequence_number,coin_trade_number
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",112470,NETX,micro,open,long,0.382600000000000000,,261.36957658,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 12:25:23.450206,,5.18,False,,0.382600000000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",112569,OVL,micro,open,long,0.007527000000000000,,13285.50551348,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 12:28:50.103191,,5.13,False,,0.007527000000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",112654,ORCA,micro,open,long,1.107900000000000000,,90.26085387,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 12:32:17.815889,,5.07,False,,1.107900000000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",112684,ANT,micro,open,long,0.000032189000000000,,3106651.34052005,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 12:35:45.338401,,5.01,False,,0.000032189000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",113401,MYX,micro,open,long,0.239900000000000000,,416.84035015,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 13:11:13.308707,,4.42,False,,0.239900000000000000,8.00,15.00,3.40,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",113570,ABEL,micro,open,long,0.091080000000000000,,1097.93588054,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 13:14:23.272242,,4.37,False,,0.091080000000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",113729,KCS,small,open,long,6.670500000000000000,,14.99137996,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 13:17:34.098373,,4.31,False,,6.670500000000000000,5.00,10.00,2.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",113868,CHEQ,micro,open,long,0.002366000000000000,,42265.42688081,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 13:20:46.368822,,4.26,False,,0.002366000000000000,5.00,1.00,2.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",114521,CHECK,micro,open,long,0.067690000000000000,,1477.32309056,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 13:44:07.226142,,3.87,False,,0.067690000000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",114999,PEPE,mid,open,long,0.000002810000000000,,35587188.61209964,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 14:07:53.685651,,3.47,False,,0.000002810000000000,4.00,7.00,1.50,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",115125,SKYA,micro,open,long,0.000507000000000000,,197238.65877712,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 14:11:09.687355,,3.42,False,,0.000507000000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",115294,SNEK,micro,open,long,0.000395800000000000,,252652.85497726,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 14:14:21.183650,,3.37,True,0.000417000000000000,0.000395800000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",115484,BOS,micro,open,long,0.000085000000000000,,1176470.58823529,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 14:17:27.548708,,3.32,False,,0.000085000000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",115616,CMGON,micro,open,long,32.310000000000000000,,3.09501702,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 14:20:26.116257,,3.27,False,,32.310000000000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",115734,MOVR,micro,open,long,1.484000000000000000,,67.38544474,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 14:23:28.952573,,3.22,False,,1.484000000000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",115813,AT,micro,open,long,0.136970000000000000,,730.08688034,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 14:26:37.436685,,3.16,True,0.147170000000000000,0.136970000000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",115872,DEAI,micro,open,long,0.003234000000000000,,30921.45949289,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 14:29:48.921704,,3.11,True,0.003468000000000000,0.003234000000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",115941,NCN,micro,closed,long,0.000120950000000000,0.000123000000000000,826787.92889624,100.00000000,101.69491525,1.6949,1.69,1,0,2026-06-12 14:33:02.642390,2026-06-12 15:05:42.012240,0.54,True,0.000129630000000000,0.000120950000000000,5.00,1.00,2.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",116044,ENJ,micro,open,long,0.033780000000000000,,2960.33155713,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 14:36:21.951289,,3.00,True,0.035750000000000000,0.033780000000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",116159,ALVA,micro,open,long,0.011100000000000000,,9009.00900901,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 14:39:43.608132,,2.94,False,,0.011100000000000000,5.00,1.00,2.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",116535,OTK,micro,open,long,0.000329800000000000,,303214.06913281,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 14:56:57.948833,,2.66,False,,0.000329800000000000,5.00,1.00,2.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",116743,DOVU,micro,open,long,0.001639300000000000,,61001.64704447,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 15:07:26.660254,,2.48,False,,0.001639300000000000,5.00,1.00,2.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",116830,TICS,micro,closed,long,0.032060000000000000,0.033120000000000000,3119.15159077,100.00000000,103.30630069,3.3063,3.31,1,0,2026-06-12 15:10:42.285936,2026-06-12 15:24:35.423264,0.23,True,0.034620000000000000,0.032060000000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",116959,COINDEPO,micro,open,long,0.076810000000000000,,1301.91381331,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 15:13:50.522340,,2.38,False,,0.076810000000000000,5.00,1.00,2.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",117114,SPCFIN,micro,open,long,0.000277700000000000,,360100.82823190,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 15:16:50.038580,,2.33,False,,0.000277700000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",117255,DAO,micro,open,long,0.033610000000000000,,2975.30496876,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 15:19:49.928899,,2.28,False,,0.033610000000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",117472,TICS,micro,open,long,0.031920000000000000,,3132.83208020,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 15:26:10.048164,,2.17,True,0.033630000000000000,0.031920000000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",117888,PANTHER,micro,closed,long,0.004853000000000000,0.004919000000000000,20605.81083866,100.00000000,101.35998352,1.3600,1.36,1,0,2026-06-12 15:43:11.161374,2026-06-12 16:32:15.071527,0.82,True,0.005155000000000000,0.004853000000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",117976,MARAON,micro,open,long,14.240000000000000000,,7.02247191,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 15:46:40.264595,,1.83,False,,14.240000000000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",118943,VIM,micro,closed,long,0.001650000000000000,0.002250000000000000,60606.06060606,100.00000000,136.36363636,36.3636,36.36,1,0,2026-06-12 16:11:22.116414,2026-06-12 16:35:44.135441,0.41,True,0.002700000000000000,0.001650000000000000,8.00,15.00,8.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",119178,SPACEX(PRE),micro,closed,long,154.600000000000000000,161.100000000000000000,0.64683053,100.00000000,104.20439838,4.2044,4.20,1,0,2026-06-12 16:14:30.330011,2026-06-12 17:33:41.877674,1.32,True,168.150000000000000000,154.600000000000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",119367,NOT,micro,open,long,0.000448900000000000,,222766.76319893,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 16:17:39.895771,,1.31,False,,0.000448900000000000,8.00,15.00,3.00,True,1,1
E53-1,E53,"{""vol_mult"": 1.5, ""atr_increase"": 0.2}",119517,A47,micro,open,long,0.001861000000000000,,53734.55131650,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-12 16:20:39.373965,,1.26,False,,0.001861000000000000,5.00,1.00,2.00,True,1,1
